"Grosshandel","Metri AG",1,,,
1000,"g","Gorgonzola",,"5,89",1000
1000,"g","Gouda",,"4,95",1000
1000,"g","Grundsauce Dunkel",,"10,95",1000
1000,"g","Grundsauce Hell",,"10,91",1000
1000,"g","Gyrosfleisch Vorgewuerzt","m","8,52",1000
1000,"g","Gyrosgewuerz",,"8,36",1000
1000,"g","Haehnchenbrustfilet","m","6,42",1000
1000,"g","Halbbitterschokolade",,"9,01",1000
1000,"g","Hokkaido-Kuerbis",,"1,92",1000
1000,"g","Hollandaise",,"3,83",1000
1000,"g","Hummer","f","27,37",1000
1000,"g","Ingwer",,"9,07",1000
1000,"g","Italienische Gewuerzmischung",,"5,26",1000
1000,"g","Joghurt",,"2,06",1000
1000,"g","Johannisbeeren",,7,1000
1000,"g","Karotten",,"3,53",1000
1000000,"g","Kartoffeln",,2340,1000
1000,"g","Ketchup",,"3,3",1000
1000,"g","Kidneybohnen",,"6,17",1000
1000,"g","Kirschen",,"6,33",1000
1000,"g","Knoblauchpulver",,"7,21",1000
1000,"g","Kochschinken","m","4,37",1000
1000,"g","Kohl",,"2,61",1000
1,"l","Kokosmilch",,"3,46",1000
1000,"g","Kopfsalat",,"2,55",1000
1000,"g","Kraeuterbutter",,"4,69",1000
1000,"g","Kreuzkuemmel",,"6,64",1000
1000,"g","Kuemmel",,"9,33",1000
1000,"g","Kugelfisch-Muskelfleisch","f","118,61",1000
1000,"g","Kurkuma",,"7,73",1000
1000,"g","Lauch",,"3,49",1000
1,"l","Lebensmittelfarbe rot",,"1,75",1000
1000,"g","Leberwurst","m","5,84",1000
1000,"g","Liebstoeckel",,"8,55",1000
10,,"Lorbeerblatt",,"2,18",1000
1,"l","Magenbitter",,"20,24",1000
1000,"g","Magerquark",,"3,67",1000
1000,"g","Mascarpone",,"5,12",1000
1000,"g","Mayonnaise",,"2,85",1000
1000,"g","Mehl",,"1,34",1000
1000,"g","MensaFix fuer braune Pampe",,"0,95",1000
1,"l","Milch",,"0,81",1000
1000,"g","Mononatriumglutamat",,"1,12",1000
1000,"g","Mozzarellakugeln",,"5,76",1000
1000,"g","Muscheln","f","11,94",1000
1000,"g","Muskat",,"6,57",1000
10,,"Nasi-Goreng Convenience",,"9,78",1000
1000,"g","Olivenoel",,"1,01",1000
1000,"g","Oregano",,"8,31",1000
1000,"g","Pangasius","f","9,25",1000
10,,"Paprika",,"9,75",1000
1000,"g","Parmesan",,"4,34",1000
1000,"g","Passierte Tomaten",,"2,36",1000
1000,"g","Penne",,"1,76",1000
1000,"g","Pesto Rosso",,"17,65",1000
1000,"g","Pesto Trueffel-Pilz",,"27,67",1000
1000,"g","Pesto Verde",,"24,08",1000
1000,"g","Petersilie",,"6,87",1000
1000,"g","Pfeffer",,"7,63",1000
1000,"g","Pflanzenoel",,"1,34",1000
1000,"g","Pilzravioli Convenience",,"12,36",1000
1000,"g","Piment",,"6,32",1000
10,,"Pizzateig vorgebacken",,"8,68",1000
1000,"g","Pommes Frites TK",,"2,11",1000
1000,"g","Pommes Macaires TK",,"2,55",1000
1000,"g","Preiselbeeren",,"5,54",1000
1000,"g","Puderzucker",,"1,21",1000
1000,"g","Raclettekaese",,"9,18",1000
1000,"g","Raeuchertofu",,"12,81",1000
1000,"g","Reis",,"3,29",1000
1000,"g","Remoulade",,"2,27",1000
1000,"g","Rinderhuefte","m","6,84",1000
10,,"Rinderroulade","m","9,96",1000
1000,"g","Rindersalami","m","5,92",1000
1000,"g","Rindfleisch","m","6,6",1000
1000,"g","Ringli",,"1,99",1000
1000,"g","Rosinen",,"7,86",1000
1000,"g","Rosmarin",,"6,88",1000
1000,"g","Rotkohl",,"3,99",1000
1,"l","Rotwein",,"1,12",1000
1000,"g","Rumpsteak","m","7,43",1000
1000,"g","Rundkornreis",,"4,05",1000
1000,"g","Safran",,"6743,05",1000
1000,"g","Sahne",,"2,19",1000
1000,"g","Salami","m","4,4",1000
10,,"Salatgurke",,"9,63",1000
1000,"g","Salatsauce",,"1,89",1000
1000,"g","Salbei",,"7,08",1000
1000,"g","Salz",,"0,75",1000
1000,"g","Scheiblettenkaese",,"3,76",1000
1000,"g","Schmalz","m","1,8",1000
1000,"g","Schnittlauch",,"6,97",1000
1000,"g","Schupfnudeln",,"5,74",1000
1000,"g","Schweinebauch","m","3,3",1000
1000,"g","Schweinefilet","m","13,78",1000
1000,"g","Schweinesteak","m","12,15",1000
1000,"g","Seelachs","f","7,73",1000
1000,"g","Sellerie",,"2,43",1000
1000,"g","Semmelbroesel",,"3,44",1000
1000,"g","Senf",,"5,58",1000
1000,"g","Sesam",,"7,01",1000
1,"l","Sherry",,"8,24",1000
1000,"g","Soja-Gyros",,"8,46",1000
1000,"g","Sojasauce",,"5,29",1000
1000,"g","Sojasprossen",,"6,06",1000
1000,"g","Sonnenblumenkerne",,"6,17",1000
1000,"g","Spaetzle",,"3,6",1000
1000,"g","Spaghetti",,"1,94",1000
1000,"g","Spanische Wurst","m","9,29",1000
1000,"g","Spargelravioli Convenience",,"6,89",10
1000,"g","Speck","m","6,19",1000
1000,"g","Speiseoel",,"0,87",1000
1000,"g","Spinat",,"5,9",1000
1000,"g","Straussenfilet","m","133,38",1000
1000,"g","Suppengruen gemischt",,"2,23",1000
1000,"g","Thymian",,"8,48",1000
1000,"g","Toastbrot",,"2,37",1000
10,,"Tomaten",,"3,64",1000
1000,"g","Tomatenmark",,"4,37",1000
1000,"g","Truthahnfilet","m","8,96",1000
1000,"g","Vanillinzucker",,"2,61",1000
1000,"g","Vollmilchschokolade",,"6,45",1000
1,"l","Weissweinverschnitt",,"0,73",1000
1000,"g","Wildlachs","f","11,72",1000
1000,"g","Zaziki",,"3,98",1000
1000,"g","Zimt",,"8,92",1000
10,,"Zitrone",,"3,86",1000
1000,"g","Zucchini",,"2,58",1000
1000,"g","Zucker",,"1,07",1000
10,,"Zwiebel",,"0,87",1000
