Lieferant;Zutat;Menge;Wert;Waehrung;Kosten in Euro;
Metri AG;Eiweissrohmasse;76000 Gramm;148,20;Euro;148,20 Euro
Metri AG;Ketchup;49000 Gramm;161,70;Euro;161,70 Euro
Metri AG;Lebensmittelfarbe rot;31 Liter;54,25;Euro;54,25 Euro
Metri AG;Salz;64000 Gramm;48,00;Euro;48,00 Euro
Metri AG;Birnen;155000 Gramm;813,75;Euro;813,75 Euro
Metri AG;Oregano;13000 Gramm;108,03;Euro;108,03 Euro
Metri AG;Ingwer;7000 Gramm;63,49;Euro;63,49 Euro
Metri AG;Raeuchertofu;132000 Gramm;1.690,92;Euro;1.690,92 Euro
Metri AG;Auberginen;108000 Gramm;368,28;Euro;368,28 Euro
Metri AG;Salami;12000 Gramm;52,80;Euro;52,80 Euro
Metri AG;Rotwein;31 Liter;34,72;Euro;34,72 Euro
Metri AG;Schnittlauch;13000 Gramm;90,61;Euro;90,61 Euro
Metri AG;Butter;127000 Gramm;419,10;Euro;419,10 Euro
Metri AG;Pesto Rosso;25000 Gramm;441,25;Euro;441,25 Euro
Metri AG;Petersilie;16000 Gramm;109,92;Euro;109,92 Euro
Metri AG;Milch;390 Liter;315,90;Euro;315,90 Euro
Metri AG;Italienische Gewuerzmischung;2000 Gramm;10,52;Euro;10,52 Euro
Metri AG;Pesto Verde;16000 Gramm;385,28;Euro;385,28 Euro
Metri AG;Pommes Frites TK;87000 Gramm;183,57;Euro;183,57 Euro
Metri AG;Kidneybohnen;91000 Gramm;561,47;Euro;561,47 Euro
;;;;Kosten fuer Metri AG:;41.969,61 Euro

Naturschlachterei Hackebeil;Rindfleisch;46000 Gramm;276,00;Euro;276,00 Euro
Naturschlachterei Hackebeil;Haehnchenbrustfilet;219000 Gramm;1.092,81;Euro;1.092,81 Euro
Naturschlachterei Hackebeil;Truthahnfilet;106000 Gramm;640,24;Euro;640,24 Euro
;;;;Kosten fuer Naturschlachterei Hackebeil:;2.009,05 Euro

Metzgerfachhandel Schneider;Elchfleisch;76000 Gramm;729,60;Euro;729,60 Euro
Metzgerfachhandel Schneider;Gyrosfleisch Vorgewuerzt;46000 Gramm;328,90;Euro;328,90 Euro
Metzgerfachhandel Schneider;Rindersalami;17000 Gramm;97,41;Euro;97,41 Euro
Metzgerfachhandel Schneider;Rinderhack;49000 Gramm;390,04;Euro;390,04 Euro
Metzgerfachhandel Schneider;Hackfleisch halb und halb;85000 Gramm;283,05;Euro;283,05 Euro
Metzgerfachhandel Schneider;Speck;36000 Gramm;160,92;Euro;160,92 Euro
Metzgerfachhandel Schneider;Cordon Bleu TK;310 Stueck;222,58;Euro;222,58 Euro
;;;;Kosten fuer Metzgerfachhandel Schneider:;2.212,50 Euro

Carrefar S.A.;Essig;30000 Gramm;35,40;Euro;35,40 Euro
Carrefar S.A.;Rundkornreis;38000 Gramm;120,08;Euro;120,08 Euro
Carrefar S.A.;Erbsen;16000 Gramm;68,48;Euro;68,48 Euro
Carrefar S.A.;Kreuzkuemmel;5000 Gramm;29,90;Euro;29,90 Euro
Carrefar S.A.;Lauch;63000 Gramm;214,83;Euro;214,83 Euro
Carrefar S.A.;Vanillinzucker;23000 Gramm;59,34;Euro;59,34 Euro
Carrefar S.A.;Dosenmais;61000 Gramm;175,07;Euro;175,07 Euro
Carrefar S.A.;Kartoffeln;800000 Gramm;1.640,00;Euro;1.640,00 Euro
Carrefar S.A.;Estragon;2000 Gramm;12,38;Euro;12,38 Euro
Carrefar S.A.;Kurkuma;16000 Gramm;121,12;Euro;121,12 Euro
Carrefar S.A.;Knoblauchpulver;34000 Gramm;213,86;Euro;213,86 Euro
Carrefar S.A.;Blumenkohl;46000 Gramm;120,52;Euro;120,52 Euro
Carrefar S.A.;Gorgonzola;31000 Gramm;155,93;Euro;155,93 Euro
Carrefar S.A.;Backpulver;15000 Gramm;66,30;Euro;66,30 Euro
Carrefar S.A.;Wildlachs;120000 Gramm;1.285,20;Euro;1.285,20 Euro
Carrefar S.A.;Zitrone;580 Stueck;197,20;Euro;197,20 Euro
Carrefar S.A.;Thymian;7000 Gramm;54,81;Euro;54,81 Euro
Carrefar S.A.;Currypulver;28000 Gramm;190,96;Euro;190,96 Euro
Carrefar S.A.;Remoulade;4000 Gramm;8,60;Euro;8,60 Euro
Carrefar S.A.;Gemuesebruehe;36000 Gramm;181,44;Euro;181,44 Euro
Carrefar S.A.;Gnocchi;55000 Gramm;211,20;Euro;211,20 Euro
Carrefar S.A.;Zucker;55000 Gramm;47,30;Euro;47,30 Euro
Carrefar S.A.;Grundsauce Hell;4000 Gramm;42,84;Euro;42,84 Euro
Carrefar S.A.;Zimt;4000 Gramm;24,48;Euro;24,48 Euro
Carrefar S.A.;Mononatriumglutamat;29000 Gramm;30,74;Euro;30,74 Euro
Carrefar S.A.;Dosenananas;105000 Gramm;551,25;Euro;551,25 Euro
Carrefar S.A.;Mozzarellakugeln;46000 Gramm;233,68;Euro;233,68 Euro
Carrefar S.A.;Semmelbroesel;9000 Gramm;24,84;Euro;24,84 Euro
Carrefar S.A.;Hollandaise;31000 Gramm;80,29;Euro;80,29 Euro
Carrefar S.A.;Chilipulver;38000 Gramm;247,76;Euro;247,76 Euro
Carrefar S.A.;Sellerie;30000 Gramm;54,90;Euro;54,90 Euro
Carrefar S.A.;Pilzravioli Convenience;46000 Gramm;405,72;Euro;405,72 Euro
;;;;Kosten fuer Carrefar S.A.:;6.906,42 Euro

;;;;Gesamtkosten:;53.312,29 Euro
