Lieferant;Zutat;Menge;Einheit;Menge & Einheit
Carrefar S.A.;Estragon;2000;Gramm;2000 Gramm;
Carrefar S.A.;Kurkuma;16000;Gramm;16000 Gramm;
Carrefar S.A.;Knoblauchpulver;34000;Gramm;34000 Gramm;
Carrefar S.A.;Blumenkohl;46000;Gramm;46000 Gramm;
Carrefar S.A.;Gorgonzola;31000;Gramm;31000 Gramm;
Carrefar S.A.;Backpulver;15000;Gramm;15000 Gramm;
Carrefar S.A.;Wildlachs;120000;Gramm;120000 Gramm;
Carrefar S.A.;Zitrone;580;Stueck;580 Stueck;
Carrefar S.A.;Thymian;7000;Gramm;7000 Gramm;
Carrefar S.A.;Currypulver;28000;Gramm;28000 Gramm;
Carrefar S.A.;Remoulade;4000;Gramm;4000 Gramm;
Carrefar S.A.;Gemuesebruehe;36000;Gramm;36000 Gramm;
Carrefar S.A.;Gnocchi;55000;Gramm;55000 Gramm;
Carrefar S.A.;Zucker;55000;Gramm;55000 Gramm;
Carrefar S.A.;Grundsauce Hell;4000;Gramm;4000 Gramm;
Carrefar S.A.;Zimt;4000;Gramm;4000 Gramm;
Carrefar S.A.;Mononatriumglutamat;29000;Gramm;29000 Gramm;
Carrefar S.A.;Dosenananas;105000;Gramm;105000 Gramm;
Carrefar S.A.;Mozzarellakugeln;46000;Gramm;46000 Gramm;
Carrefar S.A.;Semmelbroesel;9000;Gramm;9000 Gramm;
Carrefar S.A.;Hollandaise;31000;Gramm;31000 Gramm;
Carrefar S.A.;Chilipulver;38000;Gramm;38000 Gramm;
Carrefar S.A.;Sellerie;30000;Gramm;30000 Gramm;
Carrefar S.A.;Pilzravioli Convenience;46000;Gramm;46000 Gramm;

